Concatenar;Status;Semi-acabado;Descrição Semi-acabado;Qtd Semi-acabado;Centro Semi-acabado;Matéria-Prima;Descrição Matéria-Prima;Qtd Matéria-Prima;UN Matéria-Prima;;;
1700290;SEMI ACABADO;700290;ALBENDAZOL 400MG COMPRIMIDO MASTIGAVEL;500.000;600;010041;DIOXIDO SILICIO COLOIDAL ANIDRO; 2,500 ;KG;;;
2700290;SEMI ACABADO;700290;ALBENDAZOL 400MG COMPRIMIDO MASTIGAVEL;500.000;600;010280;ESS LARANJA PO; 12,500 ;KG;;;
3700290;SEMI ACABADO;700290;ALBENDAZOL 400MG COMPRIMIDO MASTIGAVEL;500.000;600;010311;ESTEARATO MAGNESIO; 2,500 ;KG;;;
4700290;SEMI ACABADO;700290;ALBENDAZOL 400MG COMPRIMIDO MASTIGAVEL;500.000;600;010469;LAURIL SULFATO SODIO (PO); 5,000 ;KG;;;
5700290;SEMI ACABADO;700290;ALBENDAZOL 400MG COMPRIMIDO MASTIGAVEL;500.000;600;010575;SACARINA SODICA; 3,500 ;KG;;;
6700290;SEMI ACABADO;700290;ALBENDAZOL 400MG COMPRIMIDO MASTIGAVEL;500.000;600;010739;LACTOSE (50/70); 116,500 ;KG;;;
7700290;SEMI ACABADO;700290;ALBENDAZOL 400MG COMPRIMIDO MASTIGAVEL;500.000;600;010860;ALBENDAZOL (MICRONIZADO); 200,000 ;KG;;;
8700290;SEMI ACABADO;700290;ALBENDAZOL 400MG COMPRIMIDO MASTIGAVEL;500.000;600;010964;POVIDONA K29-32; 16,500 ;KG;;;
9700290;SEMI ACABADO;700290;ALBENDAZOL 400MG COMPRIMIDO MASTIGAVEL;500.000;600;011018;AMIDO DE MILHO PREGELATINIZADO; 57,500 ;KG;;;
10700290;SEMI ACABADO;700290;ALBENDAZOL 400MG COMPRIMIDO MASTIGAVEL;500.000;600;011020;CELULOSE MIC(TIPO 101); 58,500 ;KG;;;
11700290;SEMI ACABADO;700290;ALBENDAZOL 400MG COMPRIMIDO MASTIGAVEL;500.000;600;010553;CROSPOVIDONE; 25,000 ;KG;;;
1700325;SEMI ACABADO;700325;ACICLOVIR 200MG COM  ;450.000;600;010184;COR ALUM LACA AZUL2; 0,135 ;KG;;;
2700325;SEMI ACABADO;700325;ACICLOVIR 200MG COM  ;450.000;600;010311;ESTEARATO MAGNESIO; 1,800 ;KG;;;
3700325;SEMI ACABADO;700325;ACICLOVIR 200MG COM  ;450.000;600;010469;LAURIL SULFATO SODIO (PO); 0,540 ;KG;;;
4700325;SEMI ACABADO;700325;ACICLOVIR 200MG COM  ;450.000;600;010923;CROSCARMELOSE SODICA; 9,000 ;KG;;;
5700325;SEMI ACABADO;700325;ACICLOVIR 200MG COM  ;450.000;600;011018;AMIDO DE MILHO PREGELATINIZADO; 9,000 ;KG;;;
6700325;SEMI ACABADO;700325;ACICLOVIR 200MG COM  ;450.000;600;011020;CELULOSE MIC(TIPO 101); 154,296 ;KG;;;
7700325;SEMI ACABADO;700325;ACICLOVIR 200MG COM  ;450.000;600;011047;ACICLOVIR MICRONIZADO; 95,229 ;KG;;;
1700360;SEMI ACABADO;700360;FLUCONAZOL 150MG CAP;200.000;600;010041;DIOXIDO SILICIO COLOIDAL ANIDRO; 0,333 ;KG;;;
2700360;SEMI ACABADO;700360;FLUCONAZOL 150MG CAP;200.000;600;010311;ESTEARATO MAGNESIO; 1,000 ;KG;;;
3700360;SEMI ACABADO;700360;FLUCONAZOL 150MG CAP;200.000;600;010469;LAURIL SULFATO SODIO (PO); 3,333 ;KG;;;
4700360;SEMI ACABADO;700360;FLUCONAZOL 150MG CAP;200.000;600;010739;LACTOSE (50/70); 43,111 ;KG;;;
5700360;SEMI ACABADO;700360;FLUCONAZOL 150MG CAP;200.000;600;010923;CROSCARMELOSE SODICA; 2,222 ;KG;;;
6700360;SEMI ACABADO;700360;FLUCONAZOL 150MG CAP;200.000;600;011089;FLUCONAZOL (I); 30,000 ;KG;;;
7700360;SEMI ACABADO;700360;FLUCONAZOL 150MG CAP;200.000;600;011215;CAPS 0 AZUL / AZUL; 200.000,000 ;UN;;;
1700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;010046;ALCOOL ETILICO; 173,572 ;KG;;;
2700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;010071;CELULOSE MIC (TIPO200); 253,571 ;KG;;;
3700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;010177;COR ALUM LACA AMARELO TARTRAZINA 5; 0,714 ;KG;;;
4700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;010184;COR ALUM LACA AZUL2; 1,429 ;KG;;;
5700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;010228;DIOXIDO TITANIO; 8,571 ;KG;;;
6700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;010311;ESTEARATO MAGNESIO; 7,142 ;KG;;;
7700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;010720;CLORETO METILENO (D2)**; 214,286 ;KG;;;
